sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,0.0,2.5331,,,,,,,0.0,5301.32,1.54022,0.91,0.239,4.02194,377.686,12.316,10.263,12.1208,EPIC 211705654,0
1.0,0.0,3.022569,,,,,,,0.0,6481.66,1.89113,1.32,-0.613,4.0052,720.982,12.297,10.999,12.1335,EPIC 211710534,0
1.0,0.0,2.958763,,,,,,,0.0,5935.86,2.34828,1.08,-0.462,3.72999,1793.74,14.259,12.744,14.082,EPIC 211718105,0
1.0,0.0,1.052364,,,,,,,0.0,5157.0,1.1112,0.87,,4.286,1241.86,15.948,13.51,15.5423,EPIC 211721325,0
1.0,0.0,2.131554,,,,,,,0.0,6147.31,2.44273,1.167,-0.191,3.72939,421.763,10.836,9.449,10.6425,EPIC 211732801,0
1.0,0.0,2.46819,,,,,,,0.0,8315.0,0.817957,2.05,,4.92436,3281.3,16.184,15.74,16.2564,EPIC 211737652,0
1.0,0.0,0.56802,,,,,,,0.0,3385.0,0.451115,0.447745,,4.78052,179.563,17.18,12.226,15.9352,EPIC 211738534,0
1.0,0.0,4.612166,,,,,,,0.0,5444.37,2.82645,,-1.198,,2652.55,15.168,13.161,14.8914,EPIC 211744153,0
1.0,0.0,0.595558,,,,,,,0.0,5854.74,1.20541,1.06,-0.319,4.3011,567.958,13.14,11.632,13.0544,EPIC 211750072,0
1.0,0.0,0.595667,,,,,,,0.0,,,,,,,14.993,13.243,14.8268,EPIC 211759163,0
1.0,0.0,3.576744,,,,,,,0.0,5896.1,1.30914,1.07,0.0603,4.23348,461.706,12.553,10.973,12.3608,EPIC 211764271,0
1.0,0.0,3.57678,,,,,,,0.0,5474.0,0.934009,0.96,,4.47964,470.558,13.67,11.86,13.4924,EPIC 211764373,0
1.0,0.0,0.542912,,,,,,,0.0,5974.29,2.25382,1.1,-0.6088,3.77362,1794.75,14.21,12.697,14.0779,EPIC 211768007,0
1.0,0.0,3.79018,,,,,,,0.0,5762.0,,,,,375.949,12.424,10.882,12.4517,EPIC 211770390,0
1.0,0.0,1.5235,,,,,,,0.0,5735.72,0.950472,1.024,0.2322,4.49249,195.689,11.359,9.861,11.3102,EPIC 211804579,0
1.0,0.0,0.504961,,,,,,,0.0,5169.0,0.906039,0.88,,4.46826,762.137,15.29,13.007,14.9483,EPIC 211807456,0
1.0,0.0,0.593274,,,,,,,0.0,5557.0,1.07692,0.98,,4.36492,1303.74,15.606,13.505,15.3638,EPIC 211809568,0
1.0,0.0,1.085097,,,,,,,0.0,6503.37,2.97681,1.33,-0.2731,3.61442,2072.98,13.583,12.121,13.4156,EPIC 211812160,0
1.0,0.0,14.707213,,,,,,,0.0,5167.0,2.19732,,,,478.688,12.318,10.138,11.9845,EPIC 211814733,0
1.0,1.0,21.1701963,0.1195,,1.92,,,431.0,0.0,4057.0,0.58,0.62,0.2,4.7,186.197,15.133,11.429,14.5263,EPIC 211822797,1
1.0,0.0,1.549381,,,,,,,0.0,3570.0,0.541211,0.537281,,4.70154,398.044,17.6612,13.396,16.7386,EPIC 211822953,0
1.0,0.0,20.180269,,,,,,,0.0,3380.0,0.342147,0.32513,,4.8817,270.464,18.98,13.901,17.4331,EPIC 211828142,0
1.0,0.0,5.803439,,,,,,,0.0,5029.0,1.00796,0.84,,4.35546,471.811,14.07,11.827,13.7949,EPIC 211829982,0
1.0,0.0,3.48928,,,0.91,,,,0.0,3742.0,0.682132,0.650711,,4.58372,491.198,16.9951,13.085,16.2473,EPIC 211831378,0
1.0,0.0,0.575349,,,,,,,0.0,5033.0,1.04575,0.84,,4.32349,1354.33,16.17,13.987,16.0431,EPIC 211838158,0
1.0,0.0,2.612938,,,,,,,0.0,5014.02,4.77742,,0.0857,,556.574,11.0221,8.838,10.7834,EPIC 211839430,0
1.0,0.0,2.612804,,,,,,,0.0,5987.0,3.64705,1.1,,3.35558,544.411,10.132,9.145001,10.4352,EPIC 211839462,0
1.0,0.0,0.522199,,,,,,,0.0,,,,,,,15.506,13.003,15.2913,EPIC 211841496,0
1.0,0.0,14.343042,,,,,,,0.0,3260.0,0.424653,0.419009,,4.80422,308.234,,13.577,17.518,EPIC 211852187,0
1.0,0.0,0.628876,,,,,,,0.0,6688.0,1.49352,1.42,,4.24194,644.303,12.437,11.132,12.2464,EPIC 211858408,0
1.0,0.0,0.636109,,,,,,,0.0,6100.77,1.65628,1.15,-0.369,4.0605,577.178,12.31,11.047,12.2097,EPIC 211858489,0
1.0,0.0,4.397187,,,,,,,0.0,6090.0,1.71021,1.14,,4.02887,680.351,12.295,11.182,12.4879,EPIC 211885185,0
1.0,0.0,0.526316,,,,,,,0.0,4397.0,,,,,262.007,16.269,13.118,16.0586,EPIC 211906940,0
1.0,0.0,1.108972,,,,,,,0.0,,,,,,466.057,15.026,12.6,14.8123,EPIC 211910237,0
1.0,0.0,0.582017,,,,,,,0.0,5385.55,1.06418,0.934,-0.3221,4.35439,173.184,11.262,9.272,11.1111,EPIC 211914718,0
1.0,0.0,1.810708,,,,,,,0.0,6805.0,2.32513,1.46,,3.86952,208.619,8.811,7.893,8.742621,EPIC 211915147,0
1.0,0.0,9.484994,,,,,,,0.0,,,,,,,,14.377,,EPIC 211919555,0
1.0,0.0,9.510911,,,,,,,0.0,3941.0,0.777317,0.61,,4.4422,407.382,16.139,12.511,15.5892,EPIC 211919842,0
1.0,0.0,9.516793,,,,,,,0.0,,,,,,1930.83,19.9478,,19.8787,EPIC 211920462,0
1.0,0.0,9.48658,,,,,,,0.0,6119.69,1.76772,1.15,-0.4633,4.00394,641.363,12.455,11.034,12.2771,EPIC 211920528,0
1.0,0.0,9.487929,,,,,,,0.0,6214.0,2.65019,1.2,,3.6707,981.161,12.447,10.972,12.2618,EPIC 211920604,0
1.0,0.0,9.49259,,,,,,,0.0,4645.01,7.25626,,0.193,,1514.47,12.832,10.227,12.5,EPIC 211920811,0
1.0,0.0,0.858462,,,,,,,0.0,4467.0,0.840819,0.7,,4.43376,1177.15,17.2548,14.777,16.8725,EPIC 211928959,0
